video_id,new_length
uJlbk9iyTss,1486.0
bxQpPYOwrRE,513.0
K0IlJsi60dQ,293.0
rcYwD50_Jio,1425.0
SyUvSbGptYs,257.0
mjlggAvmNMM,266.0
UQ5Ra_l0vNY,525.0
Q4mpHEcrPIc,1014.0
4-VBH2JNSrI,596.0
h7JUmJDKL20,284.0
aQZiugkSQWU,1518.0
wkkM0g0iGUc,563.0
fdoSUxIYoso,267.0
-oLeq88FPi8,1126.0
RTSUuITC2uY,353.0
UI_14xK9Dsk,285.0
N6RGSs5SZhQ,314.0
1AVg0Mf4EYk,277.0
XIVYWWtrDRY,1965.0
nuRxbLo6SpQ,854.0
A2LuXWNpQoA,350.0
gbHfhozPEi8,381.0
sT1XiAPsG-I,194.0
E_neo6vOX2w,294.0
viQmi-x87o8,1217.0
-p9UG8P23Ms,313.0
hGvd4q5yiLo,496.0
KIOBf6k_cB0,323.0
53kM107b-Jc,258.0
wXH2hgLbcCE,893.0
DzR8Naajmz0,258.0
0a3wyei7CpA,359.0
FIDn2-clxMk,937.0
u5Dq7yoDCuU,265.0
3LLRSbEuKiI,899.0
drFl3YJ0EHw,310.0
YB9d1GGnDeE,339.0
Tu5TSmxioVU,973.0
YIMWD0peUqE,149.0
ib5lP8FVgY8,321.0
UymK_DncaGU,375.0
_R7vaVkjVoA,237.0
qgL0pkD-wpM,258.0
f_YkNIN6_iU,796.0
Hc0n7wCGqY4,296.0
OzV8xyGn8ns,332.0
QSdczB2cZN8,2039.0
2-OdJJ5PVp4,374.0
XKhc_StPNsM,330.0
pll-2SpleyE,521.0
9NJnPtgvmUY,623.0
lOrLTlYeTMA,927.0
3TBq089vqA4,39.0
LSS7mP7U47U,733.0
6mmu84lrwPs,28.0
okSC7EG-4vs,692.0
rogogp0N86E,181.0
jSP6adoT7xo,21.0
fzPpCV2cCjE,30.0
Qhjky-Z7ztE,154.0
_z_dYd9py5A,559.0
LZppZ4GIMfc,545.0
khiiBqGzq_w,25.0
cCcaejNjReQ,50.0
mJrEmu-4SVM,3900.0
mR5GBwz5k8c,509.0
5ot6ResA8PA,38.0
kivUHHQoeTU,667.0
vm3zrh65mNY,60.0
dyFNtLbrE6A,1625.0
2ASGLbMzTbE,39.0
QsAMmXUO6IA,576.0
qL1wphE9ooA,49.0
sFMHIrzBLT8,61.0
EgztEvxNf9w,70.0
leza9WZ5djc,74.0
6cP3f3x0L28,183.0
htlvywH0APQ,44.0
FzsfG_ioXjw,36.0
pCmfrRsg5Io,190.0
LaKnbVCg7WM,69.0
R5t2vT6PfWs,190.0
3NPk66Ytzgc,43.0
LrStA3Ok9c4,61.0
F3nHPkrpMDc,183.0
rPIkaX-9nug,76.0
k-jbe-6R3PM,175.0
y3xVmo9-lnQ,91.0
baxdNrxqs4Q,192.0
U1vSsb1mSHg,178.0
X0S8bFOBscc,67.0
O56xd4NcUQw,190.0
4WCgE5Rfyxw,182.0
DcJHovjTzbA,180.0
KxdZNzgjj1o,18.0
kxAQ2V7XYKo,63.0
mHD7xCXV02c,34.0
