,channel_id,custom_url,topic_category,channel_view_count,subscriber_count,channel_video_count,video_id,published_at,video_length,like_count,comment_count,view_count
0,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,lmH5uqwaFq8,2022-11-01 07:00:15,2:59,19653,0,3425275
1,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,0SY0Yn0yF9o,2022-10-29 07:00:00,29:52:00,15076,0,2882582
2,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,sNyF7BvVfxs,2022-10-25 07:00:16,2:49,47763,0,8673081
3,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,K4kqqCzF-BA,2022-10-22 07:00:12,1:01:21,57936,0,11744611
4,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,gfZmvllWVwY,2022-10-18 07:00:19,2:39,46041,0,8775011
5,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,Ay3m-zZ4KLs,2022-10-15 07:00:08,29:00:00,82258,0,14759237
6,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,mbPNkDEN3Ps,2022-10-11 07:00:16,3:29,84510,0,18552188
7,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,kSx1tS52ov4,2022-10-07 23:00:34,56:41:00,70038,0,14267136
8,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,o3eMkWX8E7U,2022-10-04 07:00:31,2:49,56693,0,11852093
9,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,o1YenjwOp-A,2022-10-01 07:00:17,34:54:00,70499,0,12609085
10,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,hqFfJBOrvHw,2022-09-27 07:00:15,2:42,33185,0,8768272
11,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,QYTYKUMOuwo,2022-09-24 07:00:08,1:10,75600,0,14603713
12,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,biXYtxZnChQ,2022-09-20 07:53:06,2:58,44981,0,11860119
13,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,tkTYVy5sdIg,2022-09-17 07:18:34,56:52:00,77693,0,14328606
14,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,-4nWoQwSHGE,2022-09-13 07:04:39,3:14,56364,0,11783626
15,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,zhoVe42Pxb0,2022-09-10 07:00:31,35:46:00,88588,0,19193110
16,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,lkBlyggtYhA,2022-09-06 07:00:11,2:56,63394,0,17121975
17,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,3rKIRUm5oV4,2022-09-03 07:00:01,54:50:00,71791,0,16178857
18,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,3QFTTxD7SuY,2022-08-30 09:15:48,3:05,89279,0,17317788
19,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,DqhH2OUOl1M,2022-08-27 07:00:03,28:18:00,84488,0,22193229
20,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,SSe98txCv00,2022-08-23 07:00:08,2:54,230384,0,78686530
21,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,uHJN15kVTLY,2022-08-20 07:00:16,59:27:00,84273,0,16730793
22,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,zHvKlszHzCg,2022-08-16 07:00:15,2:52,86029,0,23195106
23,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,dxjciWnjd0M,2022-08-13 07:00:19,31:30:00,69057,0,16213580
24,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,3LEW8jG-Q5Y,2022-08-09 07:00:02,4:10,99641,0,21462193
25,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,usqngNJYnug,2022-08-06 07:00:30,49:33:00,252225,0,52177086
26,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,3e_KEVMUvuo,2022-08-02 15:12:30,2:51,53609,0,11765146
27,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,NSlWgxDFbe8,2022-07-30 12:40:42,35:29:00,132598,0,26328770
28,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,f_8Bce7Y_p4,2022-07-28 07:00:20,29:33:00,58150,0,11918918
29,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,G_MubFgSHdI,2022-07-26 07:00:07,2:55,85118,0,17772928
30,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,tztm8t46_hI,2022-07-21 07:00:30,56:39:00,54733,0,16589538
31,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,ep2qRkyIjek,2022-07-19 07:00:13,2:56,66853,0,12962943
32,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,GbRm5DFfl88,2022-07-15 23:00:05,26:03:00,41837,0,6995433
33,UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811,Xxa-wbT93QU,2022-07-14 07:00:17,35:05:00,53646,0,10478593
